last,first,pos,num,won,lost,dz_won,nz_won,oz_won,p1_won,p2_won,p3_won,ot_won,5v5_won,ev_won,sh_won,pp_won,dz_lost,nz_lost,oz_lost,p1_lost,p2_lost,p3_lost,ot_lost,5v5_lost,ev_lost,sh_lost,pp_lost
BAERTSCHI,SVEN,L,47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
SESTITO,TOM,L,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERMIN,JOEL,R,47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUTTER,BRODY,C,48,9.0,4.0,1.0,5.0,3.0,4.0,3.0,2.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0
SHINKARUK,HUNTER,C,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERTL,TOMAS,C,48,256.0,201.0,72.0,122.0,62.0,71.0,82.0,103.0,0.0,204.0,218.0,0.0,38.0,61.0,86.0,54.0,64.0,71.0,62.0,4.0,162.0,173.0,0.0,28.0
KENNEDY,TYLER,C,48,23.0,35.0,8.0,2.0,13.0,9.0,6.0,8.0,0.0,20.0,20.0,0.0,3.0,11.0,3.0,21.0,11.0,14.0,10.0,0.0,31.0,31.0,2.0,2.0
HINOSTROZA,VINCENT,C,48,13.0,19.0,2.0,6.0,5.0,3.0,3.0,7.0,0.0,12.0,12.0,0.0,1.0,5.0,7.0,7.0,6.0,6.0,7.0,0.0,18.0,19.0,0.0,0.0
CAMPBELL,ANDREW,D,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MILLER,COLIN,D,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINDBOHM,PETTERI,D,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARTINOOK,JORDAN,L,48,18.0,15.0,4.0,10.0,4.0,4.0,9.0,5.0,0.0,13.0,13.0,2.0,3.0,5.0,2.0,8.0,2.0,8.0,5.0,0.0,5.0,5.0,5.0,5.0
SHAW,LOGAN,R,48,16.0,21.0,1.0,5.0,10.0,2.0,9.0,5.0,0.0,14.0,15.0,1.0,0.0,3.0,5.0,13.0,6.0,7.0,8.0,0.0,15.0,15.0,5.0,1.0
SIMON,DOMINIK,C,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHINKARUK,HUNTER,C,49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
RASK,VICTOR,C,49,479.0,456.0,119.0,186.0,174.0,154.0,165.0,152.0,8.0,428.0,448.0,3.0,28.0,124.0,144.0,188.0,140.0,162.0,147.0,7.0,403.0,420.0,4.0,32.0
CLAESSON,FREDRIK,D,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIGHTON,MICHAEL,G,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIPSIC,BRENDAN,L,49,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
TANGRADI,ERIC,L,49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
MERSCH,MICHAEL,L,49,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0
GALIEV,STANISLAV,R,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKBLAD,AARON,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARSSON,ADAM,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JACKMAN,BARRET,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUHWEDEL,CHAD,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOLIN,CHRISTIAN,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CECI,CODY,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURPHY,CONNOR,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIRARDI,DAN,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNDBLAD,DAVID,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARSOFSKY,DAVID,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCBAIN,JAMIE,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLEKSIAK,JAMIE,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARRISON,JASON,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOLZER,KORBINIAN,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBISA,LUCA,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAYNE,MARK,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIORDANO,MARK,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STUART,MARK,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUENIN,NATE,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HANIFIN,NOAH,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERMETTE,ANTOINE,C,50,754.0,597.0,204.0,231.0,319.0,225.0,244.0,279.0,6.0,519.0,555.0,50.0,149.0,202.0,181.0,214.0,209.0,200.0,184.0,4.0,443.0,462.0,42.0,93.0
GAUNCE,BRENDAN,C,50,49.0,58.0,20.0,18.0,11.0,21.0,14.0,14.0,0.0,40.0,40.0,9.0,0.0,27.0,18.0,13.0,20.0,16.0,22.0,0.0,51.0,52.0,4.0,2.0
TIERNEY,CHRIS,C,50,368.0,437.0,143.0,145.0,80.0,127.0,118.0,123.0,0.0,294.0,297.0,63.0,8.0,172.0,191.0,74.0,134.0,123.0,180.0,0.0,349.0,354.0,79.0,4.0
PELECH,ADAM,D,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIELOFF,PATRICK,D,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERCY,STUART,D,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRAWFORD,COREY,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUSTAVSSON,JONAS,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BINNINGTON,JORDAN,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUDLEVSKIS,KRISTERS,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIEUWEN,NATHAN,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICHALEK,STEVE,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANDER,ANTON,C,51,378.0,315.0,163.0,105.0,110.0,116.0,140.0,121.0,1.0,274.0,285.0,63.0,30.0,161.0,89.0,65.0,108.0,113.0,91.0,3.0,225.0,234.0,62.0,19.0
DESHARNAIS,DAVID,C,51,391.0,412.0,89.0,148.0,154.0,121.0,134.0,132.0,4.0,316.0,333.0,0.0,58.0,115.0,150.0,147.0,142.0,133.0,131.0,6.0,357.0,377.0,2.0,33.0
NIELSEN,FRANS,C,51,586.0,583.0,255.0,178.0,153.0,206.0,194.0,180.0,6.0,447.0,461.0,88.0,37.0,224.0,199.0,160.0,181.0,209.0,185.0,8.0,422.0,448.0,105.0,30.0
SPOONER,RYAN,C,51,304.0,407.0,81.0,119.0,104.0,105.0,115.0,82.0,2.0,281.0,295.0,3.0,6.0,105.0,147.0,155.0,130.0,136.0,137.0,4.0,378.0,392.0,6.0,9.0
KALININ,SERGEY,C,51,134.0,188.0,33.0,53.0,48.0,45.0,56.0,33.0,0.0,126.0,126.0,3.0,5.0,57.0,83.0,48.0,68.0,71.0,49.0,0.0,170.0,173.0,3.0,12.0
FILPPULA,VALTTERI,C,51,632.0,584.0,216.0,207.0,209.0,211.0,198.0,212.0,11.0,465.0,500.0,66.0,66.0,207.0,186.0,191.0,200.0,202.0,180.0,2.0,399.0,425.0,78.0,81.0
CAMPBELL,BRIAN,D,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POULIOT,DERRICK,D,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYUTIN,FEDOR,D,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARDINER,JAKE,D,51,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATSON,AUSTIN,L,51,6.0,7.0,1.0,3.0,2.0,2.0,0.0,4.0,0.0,6.0,6.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,5.0,0.0,6.0,6.0,1.0,0.0
AGOSTINO,KENNY,L,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOLLOWAY,BUD,C,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
COUSINS,NICK,C,52,109.0,128.0,32.0,45.0,32.0,42.0,36.0,31.0,0.0,104.0,107.0,0.0,2.0,37.0,55.0,36.0,40.0,46.0,40.0,2.0,120.0,122.0,0.0,6.0
GUSTAFSSON,ERIK,D,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERICSSON,JONATHAN,D,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHENN,LUKE,D,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINCIN,MARTIN,D,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRWIN,MATT,D,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLLIG,BRANDON,L,52,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JOHNSTON,ROSS,L,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FASCHING,HUDSON,R,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HORVAT,BO,C,53,760.0,733.0,345.0,204.0,211.0,243.0,244.0,254.0,19.0,540.0,583.0,108.0,69.0,364.0,162.0,207.0,233.0,220.0,266.0,14.0,488.0,525.0,162.0,46.0
CIZIKAS,CASEY,C,53,469.0,490.0,215.0,147.0,107.0,154.0,148.0,166.0,1.0,375.0,383.0,83.0,3.0,230.0,166.0,94.0,145.0,170.0,171.0,4.0,361.0,370.0,113.0,7.0
KNIGHT,CORBAN,C,53,54.0,52.0,18.0,18.0,18.0,16.0,21.0,17.0,0.0,52.0,52.0,0.0,2.0,16.0,18.0,18.0,19.0,20.0,13.0,0.0,50.0,50.0,1.0,1.0
SKINNER,JEFF,C,53,20.0,27.0,1.0,4.0,15.0,3.0,13.0,4.0,0.0,7.0,8.0,0.0,12.0,1.0,7.0,19.0,12.0,8.0,5.0,2.0,13.0,16.0,0.0,11.0
CARRICK,SAM,C,53,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLINS,SEAN,C,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRIFFITH,SETH,C,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAVEL,KEVIN,D,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WITKOWSKI,LUKE,D,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOSTISBEHERE,SHAYNE,D,53,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THEODORE,SHEA,D,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZIK,VOJTECH,D,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASHINTER,BRANDON,L,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LESSIO,LUCAS,L,53,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
GAUTHIER,FREDERIK,C,54,52.0,58.0,29.0,15.0,8.0,21.0,17.0,14.0,0.0,36.0,37.0,14.0,1.0,27.0,13.0,18.0,20.0,22.0,16.0,0.0,43.0,43.0,13.0,2.0
MCQUAID,ADAM,D,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PESCE,BRETT,D,54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
HUDON,CHARLES,L,54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
KHAIRA,JUJHAR,L,54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
BULMER,BRETT,R,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LETESTU,MARK,C,55,596.0,566.0,260.0,171.0,165.0,174.0,221.0,195.0,6.0,382.0,414.0,106.0,76.0,277.0,141.0,148.0,169.0,184.0,208.0,5.0,350.0,373.0,122.0,71.0
SCHEIFELE,MARK,C,55,515.0,651.0,159.0,161.0,195.0,172.0,167.0,167.0,9.0,397.0,427.0,16.0,72.0,168.0,243.0,240.0,222.0,208.0,214.0,7.0,496.0,533.0,21.0,97.0
ACCIARI,NOEL,C,55,60.0,76.0,18.0,23.0,19.0,15.0,23.0,22.0,0.0,50.0,51.0,6.0,3.0,23.0,24.0,29.0,36.0,14.0,26.0,0.0,68.0,69.0,7.0,0.0
NESS,AARON,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIEGA,ALEX,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COBURN,BRAYDON,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUMMERS,CHRIS,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EHRHOFF,CHRISTIAN,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARAYKO,COLTON,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHULTZ,JEFF,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAMAGE,JOHN,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOYCHUK,JOHNNY,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHULTZ,NICK,D,55,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRONWALL,NIKLAS,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RISTOLAINEN,RASMUS,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOOV,VIKTOR,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLEOD,CODY,L,55,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBINSON,BUDDY,R,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
FRIESEN,ALEX,C,56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
FROESE,BYRON,C,56,310.0,332.0,173.0,85.0,52.0,92.0,104.0,111.0,3.0,220.0,228.0,80.0,2.0,178.0,101.0,53.0,119.0,111.0,101.0,1.0,234.0,243.0,85.0,4.0
DANO,MARKO,C,56,2.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0
MATHESON,MICHAEL,D,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS,TOMMY,D,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIETILA,BLAKE,L,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODS,BRENDAN,L,56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
HAULA,ERIK,L,56,416.0,365.0,184.0,141.0,91.0,136.0,147.0,130.0,3.0,375.0,381.0,34.0,1.0,146.0,130.0,89.0,128.0,132.0,101.0,4.0,318.0,326.0,32.0,7.0
FIALA,KEVIN,L,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
